Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
CDS,cde_fo,EURINR,5321,OPTCUR,PE,84.75,EURINR,EURINR02MAY25P84.75,EURINR 2nd MAY 84.75 PE,2025-05-02,1,0.0025
CDS,cde_fo,EURINR,5322,OPTCUR,CE,93.75,EURINR,EURINR28APR25C93.75,EURINR APR 93.75 CE,2025-04-28,1,0.0025
CDS,cde_fo,GBPINR,5323,OPTCUR,CE,104.75,GBPINR,GBPINR28MAY25C104.75,GBPINR MAY 104.75 CE,2025-05-28,1,0.0025
CDS,cde_fo,JPYINR,5324,OPTCUR,CE,64,JPYINR,JPYINR16MAY25C64,JPYINR 16th MAY 64 CE,2025-05-16,1,0.0025
CDS,cde_fo,JPYINR,5325,OPTCUR,PE,64,JPYINR,JPYINR16MAY25P64,JPYINR 16th MAY 64 PE,2025-05-16,1,0.0025
CDS,cde_fo,JPYINR,5326,OPTCUR,CE,64.25,JPYINR,JPYINR16MAY25C64.25,JPYINR 16th MAY 64.25 CE,2025-05-16,1,0.0025
CDS,cde_fo,EURINR,5327,OPTCUR,CE,85,EURINR,EURINR02MAY25C85,EURINR 2nd MAY 85 CE,2025-05-02,1,0.0025
CDS,cde_fo,EURINR,5328,OPTCUR,PE,85,EURINR,EURINR02MAY25P85,EURINR 2nd MAY 85 PE,2025-05-02,1,0.0025
CDS,cde_fo,EURINR,5329,OPTCUR,CE,85.25,EURINR,EURINR02MAY25C85.25,EURINR 2nd MAY 85.25 CE,2025-05-02,1,0.0025
CDS,cde_fo,EURINR,5330,OPTCUR,PE,85.25,EURINR,EURINR02MAY25P85.25,EURINR 2nd MAY 85.25 PE,2025-05-02,1,0.0025
CDS,cde_fo,GBPINR,5331,OPTCUR,CE,108.75,GBPINR,GBPINR27MAR26C108.75,GBPINR 27th MAR26 108.75 CE,2026-03-27,1,0.0025
CDS,cde_fo,GBPINR,5332,OPTCUR,PE,108.75,GBPINR,GBPINR27MAR26P108.75,GBPINR 27th MAR26 108.75 PE,2026-03-27,1,0.0025
CDS,cde_fo,EURINR,5333,OPTCUR,PE,93.75,EURINR,EURINR28APR25P93.75,EURINR APR 93.75 PE,2025-04-28,1,0.0025
CDS,cde_fo,EURINR,5334,OPTCUR,CE,94,EURINR,EURINR28APR25C94,EURINR APR 94 CE,2025-04-28,1,0.0025
CDS,cde_fo,EURINR,5335,OPTCUR,PE,94,EURINR,EURINR28APR25P94,EURINR APR 94 PE,2025-04-28,1,0.0025
CDS,cde_fo,JPYINR,5336,OPTCUR,CE,58.5,JPYINR,JPYINR09MAY25C58.5,JPYINR 9th MAY 58.5 CE,2025-05-09,1,0.0025
CDS,cde_fo,EURINR,5337,OPTCUR,CE,94.25,EURINR,EURINR28APR25C94.25,EURINR APR 94.25 CE,2025-04-28,1,0.0025
CDS,cde_fo,JPYINR,5338,OPTCUR,PE,64.25,JPYINR,JPYINR16MAY25P64.25,JPYINR 16th MAY 64.25 PE,2025-05-16,1,0.0025
